Investment_Name,Growth
"HBCU Mathematics, Science & Technology, Engineering and Research Workforce Development Program",
Plasma/Fusion Science Educator Programs,5.167958656330754
National Undergraduate Fellowship Program in Plasma Physics and Fusion Energy Sciences,0.0
Fusion Energy Sciences Graduate Fellowship Program,6.250000000000005
Global Change Education Program,-3.516174402250355
American Chemical Society Summer School in Nuclear and Radiochemistry,2.6628918662846783
Computational Science Graduate Fellowship,0.0
QuarkNet,0.0
DOE Academies Creating Teacher Scientists (DOE ACTS),50.92887473460722
Visting Faculty Program,83.78728923476005
Office of Science Graduate Fellowship (SCGF) ,
National Science Bowl,5.275099262620532
Pre-Service Teacher Program,10.476190476190473
Science Undergraduate Laboratory Internships,-3.444132959551474
Community College Internship ,-9.246575342465762
"Research, Development, and Dissemination",-46.11421786425617
Research in Special Education,77.00874180923964
High School Longitudinal Study of 2009,-25.647862055217775
Mathematics and Science Partnerships,0.0
Investing in Innovation,
"Teachers for a Competitive Tomorrow: Programs for Baccalaureate Degrees in STEM or  Critical Foreign Languages, with  Concurrent Teacher Certification",0.0
Teachers for a Competitive Tomorrow: Programs for Master's Degrees STEM or Critical  Foreign Language Education (TCT-M),0.0
Graduate Assistance in Areas of National Need (GAANN),3.225806451612903
Minority Science and Engineering Improvement Program,0.0
Strengthening Predominantly Black Institutions,47.00357781753131
Developing Hispanic Serving Institutions STEM and articulation programs,0.0
Fund for the Improvement of Postsecondary Education (FIPSE),-297.14285714285717
Teacher Loan Forgiveness,60.03106393994307
Upward Bound Math and Science Program,11.412100722424869
National Ocean Service Education,-1.5845070422535228
Environmental Literacy Grants program,50.26759861687277
Curriculum Improvement Partnership Award for the Integration of Research into the Undergraduate Curriculum (CIPAIR),-1.4385835485060918
Educational Partnership Program with Minority Serving Institutions,7.100907634810465
EDMAP,5.202312138728328
NOAA Bay Watershed Education and Training (B-WET),1.546391752577305
AITC Secondary Postsecondary Agriculture Education Challenge Grants (SPECA),0.0
Higher Education Challenge Grants (HEC),4.757693668199507
New Era Rural Technology Competitive Grants Program (RTP),100.0
Chandra,-4.006497022198163
Nuclear Education Curriculum Development Program,0.0
Higher Education Multicultural Scholars Program (MSP),-52.19206680584551
"Women and Minorities in Science, Technology, Engineering and Mathematics Fields Program (WAMS)",
Climate Communications and Education,0.07936507936508824
Research Supplements to Promote Diversity in Health-Related Research,15.418842909713723
"Ruth L. Kirschstein National Research Service Award Institutional Research Training Grants (T32, T35)",2.7736120667168374
"Ruth L. Kirschstein NRSA for Individual Predoctoral Fellows, including Underrepresented Racial/Ethnic Groups,Students from Disadvantaged Backgrounds, and Predoctoral Students with Disabilities",14.36575051465022
MARC U-STAR NRSA Program,21.106875617676124
"Short Courses on Mathematical, Statistical, and Computational Tools for Studying Biological Systems",3.63636363636364
Short Courses in Integrative and Organ Systems Pharmacology,9.249329758713131
Initiative for Maximizing Student Development,26.380120886501
RISE (Research Initiative for Scientific Enhancement),27.715064227325808
Bridges to the Baccalaureate Program,44.972451790633606
Bridges to the Doctorate,40.963302752293586
Postbaccalaureate Research Education Program (PREP),54.959107806691456
NCRR Science Education Partnership Award,27.133144220811385
Cancer Education Grants Program,7.632334837915468
National Cancer Institute Cancer Education and Career Development Program,14.653538331929239
Summer Institute for Training in Biostatistics,100.0
Short-Term Research Education Program to Increase Diversity in Health-Related Research,35.38510101010101
NHLBI Minority Undergraduate Biomedical Education Program,2.0576131687242816
Short Term Educational Experiences for Research (STEER) in the Environmental health Sciences for Undergraduates and High School Students,25.557011795543914
NIAID Science Education Awards,51.0548523206751
NINDS Diversity Research Education Grants in Neuroscience,64.3758765778401
Short Courses in Population Reseach (Education Programs for Population Research R25),24.242424242424253
Graduate Program Partnerships,-6.024096385542168
Post-baccalaureate Intramural Research Training Award Program,-0.27932960893854153
Student Intramural Research Training Award Program,-12.903225806451616
Technical Intramural Research Training Award,0.0
Undergraduate Scholarship Program for Individuals from Disadvantaged Backgrounds,4.347826086956506
Curriculum Supplement Series,-112.56983240223464
Office of Science Education K-12 Program,0.5220692928334181
Clinical Research Training Program,0.0
CCR/JHU Master of Science in Biotechnology Concentration in Molecular Targets and Drug Discovery Technologies,4.705882352941168
Science Education Drug Abuse Partnership Award,12.175324675324669
Small Business Innovation Research Grants,-inf
Training in Computational Neuroscience: From Biology to Model and Back Again,50.01736714136853
Mathematics and Science Cognition and Learning (MSCL) Program,53.465346534653456
Agriculture in the Classroom,0.0
1890 Institutions Capacity Building Grants Program: Teaching,-inf
NOAA Teacher at Sea Program,68.5
NOAA Fisheries Education Program,0.0
"4-H Science, 4-H Youth Development Program",-0.19379844961241044
Office of National Marine Sanctuaries Education Program,7.829449427939735
Alaska Native-Serving and Native Hawaiian-Serving Institutions Education Competitive Grants Program,0.0
National Sea Grant College Program,-3.610962552602146
Integrated University Program - Scholarship and Fellowship Program,100.0
Integrated University Program - Trade School Scholarships,100.0
NIFA Fellowship Grants Program,
Resident Instruction Grants Program for Institutions of Higher Education in Insular Areas,6.833114323258877
Global Learning and Observations to Benefit the Environment (GLOBE),
Distance Education Grants for Institutions of Higher Education in Insular Areas (DEG),
1890 Institutions Capacity Building Grants Program: Extension,
NIST Summer Institute for MIddle School Teachers,50.0
1890 Facilities Grant Program,4.068287037037034
National Estuarine Research Reserve System,19.464513265793954
Coral Reef Conservation Program,0.0
NWS Outreach Program,50.790513833992094
Hispanic_serving Institutions Education Grants Program,8.329382013592541
Food and Agricultural Sciences National Needs Graduate and Postgraduate Fellowship Grant Program,3.448275862068969
Satellite and Information Service,-113.70967741935485
Summer Undergraduate Research Fellowship (SURF),18.56287329700056
Ernest F. Hollings Undergraduate Scholarship Program,29.107142857142847
NOAA Office of Ocean Exploration and Research (Education Only),100.0
University Transportation Centers Program,10.800861806582432
Dwight David Eisenhower Transportation Fellowship Program,1.4077425842131737
Garrett A. Morgan Technology and Transportation Education Program,1.4159292035398048
Summer Transportation Institute Program for Diverse Groups (STIPDG),0.9259259259259267
Air Transportation Centers of Excellence,6.382978723404258
Minority Serving Institutions Program (MSIP),29.478138222849083
Dr. Nancy Foster Scholarship Program,24.479292709291254
NLM Institutional Grants for Research Training in Biomedical Informatics,29.533204362103305
Stokes Educational Scholarship Program,
Homeland Security STEM Career Development Grant Program,-40.0
Scientific Leadership Awards Program,0.0
Summer Research Team Program,37.5
Homeland Security STEM Summer Intern Program,20.982142857142865
Wind for Schools,20.434782608695656
Innovative Technology Experiences for Students and Teachers  (ITEST),-3.086862885857859
"NSF Scholarships in Science, Technology, Engineering, and Mathematics  (S-STEM)",-50.93106827834042
Research on Gender in Science and Engineering (GSE),11.140350877192978
CITEAM,-inf
NHLBI HBCU Research Scientist Award,2.0576131687242816
AgDiscovery,
SMART Grants,43.10850439882698
